state,city,station,date,time,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",3/1/2020,10:00:00,68,64,17,4,28,31,40,68
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",3/1/2020,10:00:00,67,70,23,2,13,49,77,77
Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",3/1/2020,10:00:00,32,64,26,5,6,19,16,32
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",3/1/2020,10:00:00,93,93,31,3,9,57,61,93
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",5/1/2020,6:00:00,60,55,20,5,18,29,53,60
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",5/1/2020,6:00:00,48,52,25,3,12,43,67,67
Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",5/1/2020,6:00:00,36,41,31,5,5,33,14,41
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",5/1/2020,6:00:00,27,43,23,3,11,44,61,61
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",6/1/2020,3:00:00,54,54,15,5,21,30,51,54
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",6/1/2020,3:00:00,48,53,24,3,13,39,69,69
Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",6/1/2020,3:00:00,24,35,29,5,6,16,16,35
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",6/1/2020,3:00:00,53,63,24,3,12,48,59,63
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",6/1/2020,6:00:00,59,57,15,5,20,30,63,63
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",6/1/2020,6:00:00,55,58,24,3,14,43,82,82
Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",6/1/2020,6:00:00,22,34,26,4,6,17,15,34
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",6/1/2020,6:00:00,65,72,25,3,12,50,70,72
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",6/1/2020,11:00:00,66,61,15,5,23,36,57,66
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",6/1/2020,11:00:00,74,70,22,3,13,48,82,82
Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",6/1/2020,11:00:00,20,30,23,4,5,16,14,30
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",6/1/2020,11:00:00,83,86,27,3,12,55,77,86
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",7/1/2020,12:00:00,69,63,15,5,24,37,54,69
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",7/1/2020,12:00:00,78,72,22,3,14,48,80,80
Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",7/1/2020,12:00:00,19,30,22,4,5,16,14,30
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",7/1/2020,12:00:00,85,88,28,3,12,55,76,88
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",7/1/2020,2:00:00,131,94,15,5,26,34,60,131
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",7/1/2020,2:00:00,109,90,21,3,17,42,86,109
Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",7/1/2020,2:00:00,23,33,25,4,5,25,19,33
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",7/1/2020,2:00:00,99,102,32,3,13,50,68,102
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",7/1/2020,3:00:00,132,95,15,5,26,33,63,132
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",7/1/2020,3:00:00,110,90,21,3,17,44,89,110
Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",7/1/2020,3:00:00,23,34,25,4,6,27,20,34
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",7/1/2020,3:00:00,99,102,32,3,13,50,70,102
Assam,Guwahati,"Railway Colony, Guwahati - APCB",3/1/2020,10:00:00,142,98,13,3,15,33,18,142
Assam,Guwahati,"Railway Colony, Guwahati - APCB",5/1/2020,6:00:00,225,157,11,4,16,36,18,225
Assam,Guwahati,"Railway Colony, Guwahati - APCB",6/1/2020,3:00:00,141,104,11,4,15,27,19,141
Assam,Guwahati,"Railway Colony, Guwahati - APCB",6/1/2020,6:00:00,144,106,12,4,15,26,20,144
Assam,Guwahati,"Railway Colony, Guwahati - APCB",6/1/2020,11:00:00,168,132,13,4,15,50,20,168
Assam,Guwahati,"Railway Colony, Guwahati - APCB",7/1/2020,12:00:00,177,147,13,4,15,60,19,177
Assam,Guwahati,"Railway Colony, Guwahati - APCB",7/1/2020,2:00:00,224,207,16,4,16,46,19,224
Assam,Guwahati,"Railway Colony, Guwahati - APCB",7/1/2020,3:00:00,224,206,16,4,16,39,21,224
Bihar,Gaya,"Collectorate, Gaya - BSPCB",3/1/2020,10:00:00,98,150,6,9,18,65,24,98
Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",3/1/2020,10:00:00,366,150,30,9,15,33,25,366
Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",3/1/2020,10:00:00,368,150,5,9,13,87,36,368
Bihar,Patna,"Muradpur, Patna - BSPCB",3/1/2020,10:00:00,276,171,51,11,8,90,9,276
Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",3/1/2020,10:00:00,245,170,79,10,10,57,5,245
Bihar,Patna,"Samanpura, Patna - BSPCB",3/1/2020,10:00:00,311,181,24,4,14,48,43,311
Bihar,Gaya,"Collectorate, Gaya - BSPCB",5/1/2020,6:00:00,98,150,6,9,18,42,34,98
Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",5/1/2020,6:00:00,271,150,30,9,20,42,50,271
Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",5/1/2020,6:00:00,238,150,36,9,14,74,29,239
Bihar,Patna,"Muradpur, Patna - BSPCB",5/1/2020,6:00:00,110,115,36,9,7,119,11,119
Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",5/1/2020,6:00:00,114,107,62,7,10,42,4,114
Bihar,Patna,"Samanpura, Patna - BSPCB",5/1/2020,6:00:00,182,105,19,4,14,47,32,182
Bihar,Gaya,"Collectorate, Gaya - BSPCB",6/1/2020,3:00:00,121,150,9,9,18,44,29,121
Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",6/1/2020,3:00:00,310,150,30,9,21,79,38,310
Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",6/1/2020,3:00:00,238,150,36,9,14,56,40,239
Bihar,Patna,"Muradpur, Patna - BSPCB",6/1/2020,3:00:00,107,112,33,13,7,109,17,112
Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",6/1/2020,3:00:00,110,115,76,7,9,50,3,115
Bihar,Patna,"Samanpura, Patna - BSPCB",6/1/2020,3:00:00,238,150,36,9,14,48,50,239
Bihar,Gaya,"Collectorate, Gaya - BSPCB",6/1/2020,6:00:00,122,150,9,9,18,54,29,122
Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",6/1/2020,6:00:00,327,150,30,9,23,68,40,327
Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",6/1/2020,6:00:00,238,150,36,9,14,74,31,239
Bihar,Patna,"Muradpur, Patna - BSPCB",6/1/2020,6:00:00,121,116,35,13,7,105,21,121
Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",6/1/2020,6:00:00,125,123,82,7,9,65,3,125
Bihar,Patna,"Samanpura, Patna - BSPCB",6/1/2020,6:00:00,238,150,36,9,14,63,34,239
Bihar,Gaya,"Collectorate, Gaya - BSPCB",6/1/2020,11:00:00,149,150,12,9,18,51,57,149
Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",6/1/2020,11:00:00,359,150,30,9,24,71,22,359
Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",6/1/2020,11:00:00,238,150,36,9,14,106,150,239
